awayTeamCode,game_id,homeTeamCode,homeTeamWon,isPlayoffGame,season,total_games_played_by_home,total_games_played_by_away,total_wins_home,total_losses_home,total_wins_away,total_losses_away,last_10_games_win_home,last_10_games_win_away,last_meeting_result,last_game_result_home,last_game_result_away
VAN,20143,DAL,1,0,2015,9,9,7,2,4,5,7,4,1,1.0,1.0
MTL,20144,EDM,1,0,2015,10,10,3,7,9,1,3,9,1,0.0,0.0
PHI,20145,BUF,1,0,2015,10,9,3,7,4,5,3,4,1,0.0,0.0
TOR,20146,NYR,1,0,2015,10,8,6,4,1,7,6,1,0,1.0,0.0
CBJ,20147,WSH,1,0,2015,8,10,6,2,2,8,6,2,1,0.0,1.0
COL,20148,CAR,1,0,2015,10,9,4,6,3,6,4,3,1,1.0,1.0
OTT,20149,DET,0,0,2015,9,9,4,5,4,5,4,4,0,0.0,1.0
BOS,20150,FLA,0,0,2015,9,8,5,4,4,4,5,4,0,1.0,1.0
CHI,20151,MIN,1,0,2015,9,10,6,3,6,4,6,6,1,1.0,0.0
MTL,20152,CGY,0,0,2015,10,11,2,8,9,2,2,8,1,0.0,0.0
VAN,20153,ARI,0,0,2015,10,10,5,5,4,6,5,4,0,0.0,0.0
NYI,20154,NJD,1,0,2015,10,10,5,5,6,4,5,6,0,1.0,0.0
SJS,20155,DAL,1,0,2015,10,9,8,2,5,4,8,5,1,1.0,0.0
NSH,20156,LAK,1,0,2015,9,9,6,3,7,2,6,7,0,1.0,1.0
PIT,20157,TOR,0,0,2015,9,10,1,8,6,4,1,6,1,0.0,1.0
DET,20158,OTT,0,0,2015,10,10,5,5,4,6,5,4,1,1.0,0.0
BOS,20159,TBL,0,0,2015,11,9,5,6,5,4,4,5,1,0.0,1.0
WSH,20160,FLA,0,0,2015,10,9,5,5,7,2,5,7,1,0.0,1.0
WPG,20161,CBJ,0,0,2015,11,10,2,9,6,4,2,6,0,0.0,1.0
MIN,20162,STL,1,0,2015,10,10,7,3,7,3,7,7,1,1.0,1.0
CGY,20163,EDM,0,0,2015,11,11,4,7,2,9,4,2,0,1.0,0.0
SJS,20164,COL,0,0,2015,10,10,3,7,5,5,3,5,1,0.0,0.0
TBL,20165,CAR,0,0,2015,11,12,5,6,5,7,5,3,0,1.0,0.0
WPG,20166,MTL,1,0,2015,12,11,10,2,7,4,8,6,1,1.0,1.0
BUF,20167,NYI,0,0,2015,11,11,6,5,4,7,6,4,1,0.0,1.0
NSH,20168,ANA,1,0,2015,10,10,1,9,7,3,1,7,0,0.0,0.0
DAL,20169,TOR,1,0,2015,10,11,1,9,9,2,1,8,1,0.0,1.0
LAK,20170,CHI,1,0,2015,11,10,6,5,7,3,6,7,0,0.0,1.0
PHI,20171,VAN,1,0,2015,11,10,5,6,4,6,4,4,0,1.0,0.0
DAL,20172,BOS,0,0,2015,10,12,6,4,9,3,6,8,1,1.0,0.0
NJD,20173,NYI,1,0,2015,12,11,6,6,6,5,6,6,0,0.0,1.0
WSH,20174,NYR,1,0,2015,11,10,7,4,8,2,6,8,1,1.0,1.0
OTT,20175,MTL,0,0,2015,13,11,11,2,5,6,8,4,0,1.0,0.0
TBL,20176,DET,1,0,2015,11,13,5,6,6,7,4,3,1,1.0,1.0
LAK,20177,STL,0,0,2015,11,11,8,3,7,4,7,7,1,1.0,0.0
CGY,20178,COL,1,0,2015,11,12,3,8,3,9,3,2,1,0.0,1.0
PHI,20179,EDM,1,0,2015,12,11,4,8,4,7,4,4,1,0.0,0.0
CBJ,20180,SJS,0,0,2015,11,12,6,5,2,10,5,2,0,1.0,0.0
WPG,20181,TOR,0,0,2015,11,12,2,9,7,5,2,5,1,1.0,0.0
STL,20182,CHI,0,0,2015,12,12,7,5,8,4,6,7,1,1.0,0.0
PIT,20183,VAN,0,0,2015,12,11,6,6,7,4,5,7,0,1.0,1.0
